code_2008,libelle_2008,code_2025,libelle_2025,type_correspondance,type_officiel,contenu_commun,source_url,source_reference
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",01.11Y,"Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.12Z,Culture du riz,01.12Y,Culture du riz,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.13Z,"Culture de légumes, de melons, de racines et de tubercules",01.13Y,"Culture de légumes, de melons, de racines et de tubercules",n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.14Z,Culture de la canne à sucre,01.14Y,Culture de la canne à sucre,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.15Z,Culture du tabac,01.15Y,Culture du tabac,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.16Z,Culture de plantes à fibres,01.16Y,Culture de plantes à fibres,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.19Z,Autres cultures non permanentes,01.13Y,"Culture de légumes, de melons, de racines et de tubercules",n↔n,Multiple,"- la culture de racines et de tubercules, par exemple : les rutabagas et les betteraves fourragères",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.19Z,Autres cultures non permanentes,01.19Y,Autres cultures non permanentes,1→n,Multiple,"- la culture de trèfle, de luzerne, de sainfoin, de maïs, de lupin, d'autres graminées, de choux fourragers et de produits fourragers similaires - la culture de semences de betteraves et de semences de plantes fourragères - la culture de fleurs - la coupe de fleurs et de boutons floraux - la culture de semences de fleurs - la culture de fleurs vivaces et d'autres plantes ornementales",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.21Z,Culture de la vigne,01.21Y,Culture de la vigne,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
01.22Z,Culture de fruits tropicaux et subtropicaux,01.22Y,Culture de fruits tropicaux et subtropicaux,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
