source_id,nom,producteur,url,frequence,date_reference_max,date_collecte,format,acces,unite,limitations,url_documentation,url_api,url_download,mode_controle,criticite,auth_requise
sirene_stock,Base Sirene — fichiers stock (unités légales et établissements),Insee,https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,mensuelle,,,CSV zippé / Parquet,open data,unité légale / établissement,"Répertoire administratif : existence administrative, pas activité économique constatée. Depuis le 16/12/2025, variables activitePrincipaleNAF25* diffusées par anticipation (retirées début janvier 2027).",https://www.insee.fr/fr/information/9019311,https://www.data.gouv.fr/api/1/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,,public,critical,non
sirene_api,API Sirene,Insee,https://www.data.gouv.fr/dataservices/api-sirene-open-data,quasi temps réel,,,JSON,open data (clé),unité légale / établissement,Quotas d'interrogation ; mêmes limites conceptuelles que le répertoire.,https://portail-api.insee.fr/catalog/api/2ba0e549-5587-3ef1-9082-99cd865de66f,https://api.insee.fr/api-sirene/3.11/siren/552100554,,authentification,standard,oui
sirene_geo,Géolocalisation des établissements Sirene pour études statistiques,Insee,https://www.data.gouv.fr/datasets/geolocalisation-des-etablissements-du-repertoire-sirene-pour-les-etudes-statistiques,mensuelle,,,CSV zippé,open data,établissement,Géocodage automatique : qualité variable selon l'adresse.,,https://www.data.gouv.fr/api/1/datasets/geolocalisation-des-etablissements-du-repertoire-sirene-pour-les-etudes-statistiques/,,public,standard,non
sirus,Répertoire statistique Sirus,Insee,https://www.insee.fr/fr/metadonnees/source/serie/s1024,continue,,,—,"documentation publique ; microdonnées sous conditions (accès chercheurs / environnement statistique)",unité statistique,Ne pas confondre avec Sirene : les microdonnées Sirus ne sont pas en libre téléchargement.,https://www.insee.fr/fr/information/6665192,,,public,standard,oui
side,SIDE — Système d'information sur la démographie d'entreprises,Insee,https://www.insee.fr/fr/metadonnees/source/serie/s2120,mensuelle (créations) / annuelle (stocks),,,tableaux diffusés,résultats publics,unité légale / établissement économiquement actifs,"Champ statistique (actifs économiquement), délai de consolidation supérieur aux sources administratives ; remplace le REE depuis 2022, alimenté par Sirene enrichi de Sirus.",,,,public,standard,non
side_stocks,Démographie des entreprises — stocks des unités légales et établissements économiquement actifs,Insee,https://www.insee.fr/fr/statistiques/8379208,annuelle,,,tableaux / CSV,résultats publics,unité légale / établissement,Millésimes disponibles avec délai ; vérifier le dernier millésime publié.,,,,public,standard,non
boamp,BOAMP — annonces de marchés publics,DILA,https://boamp-datadila.opendatasoft.com/explore/dataset/boamp/,quotidienne,,,API JSON / exports,open data,annonce de marché,Couverture = annonces soumises à publication ; un marché sensible ou sous seuil peut être absent. Absence ≠ absence de commande.,,https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records?limit=1,,public,standard,non
decp,DECP — données essentielles de la commande publique,DAJ / data.economie.gouv.fr,https://data.economie.gouv.fr/explore/dataset/decp-v3-marches-valides/,alimentation continue,,,API JSON / CSV,open data,marché attribué (titulaires SIRET),"Qualité hétérogène (doublons, montants, identifiants) : contrôles indispensables avant analyse.",,https://data.economie.gouv.fr/api/explore/v2.1/catalog/datasets/decp-v3-marches-valides/records?limit=1,,public,standard,non
bodacc,BODACC — annonces civiles et commerciales,DILA,https://bodacc-datadila.opendatasoft.com/explore/dataset/annonces-commerciales/,plusieurs parutions par semaine,,,API JSON / exports,open data,annonce (unité légale),Événements juridiques publiés ; ne couvre pas tout événement économique.,,https://bodacc-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/annonces-commerciales/records?limit=1,,public,standard,non
douanes,Statistiques du commerce extérieur (détail produit × pays),DGDDI,https://www.douane.gouv.fr/la-douane/opendata,mensuelle,,,CSV,open data,flux produit (NC8) × pays,"Nomenclature produits (NC8/SH), pas activités (NAF) : toute passerelle NAF↔produits doit être documentée. Données sous le seuil ou confidentialisées possibles.",,,,anti_bot_possible,standard,non
inpi_brevets,INPI — brevets (open data / API),INPI,https://data.inpi.fr,hebdomadaire à mensuelle,,,API JSON / XML,open data avec compte,dépôt / titre de brevet,Délai de publication d'un brevet (18 mois après dépôt en général) : signal retardé.,,,,anti_bot_possible,standard,oui
rne,RNE — registre national des entreprises,INPI,https://registre-national-entreprises.inpi.fr,continue,,,API JSON,open data avec compte,unité légale (actes et données du registre),Registre juridique : complète le BODACC pour les événements ; API sur compte INPI.,,,,public,informative,oui
refd,REFD — répertoire des entreprises fournisseurs de la Défense,Ministère des Armées (SSM/OED),https://www.defense.gouv.fr/ssm/repertoire-entreprises-fournisseurs-defense-refd,millésimes,,,—,publication ministérielle,fournisseur observé,Périmètre empirique « fournisseurs observés » ; ni exhaustif ni équivalent à la BITD.,,,,anti_bot_possible,standard,non
edis,Enquête EDIS (SSM/OED — EcoDef),Ministère des Armées (SSM/OED),https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,annuelle,,,publication,publication ministérielle,entreprise enquêtée,Résultats agrégés ; définitions propres à l'enquête à reprendre exactement.,,,,anti_bot_possible,standard,non
naf_correspondance,Table officielle de correspondance NAF rév.2 ↔ NAF 2025,Insee,https://www.insee.fr/fr/information/8181066,à la révision,,,XLSX/CSV,open data,relation entre codes,"Correspondance ≠ conversion : relations 1→n, n→1 et n↔n non inversibles automatiquement.",,,,public,critical,non
