version,section_code,section_label,division_code,division_label,group_code,group_label,class_code,class_label,subclass_code,subclass_label,notes_include,notes_exclude,source_url,source_reference
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.11,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.11Z,Insee — NAF rév.2 — sous-classe 01.11Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.12,Culture du riz,01.12Z,Culture du riz,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.12Z,Insee — NAF rév.2 — sous-classe 01.12Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.13,"Culture de légumes, de melons, de racines et de tubercules",01.13Z,"Culture de légumes, de melons, de racines et de tubercules",,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.13Z,Insee — NAF rév.2 — sous-classe 01.13Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.14,Culture de la canne à sucre,01.14Z,Culture de la canne à sucre,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.14Z,Insee — NAF rév.2 — sous-classe 01.14Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.15,Culture du tabac,01.15Z,Culture du tabac,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.15Z,Insee — NAF rév.2 — sous-classe 01.15Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.16,Culture de plantes à fibres,01.16Z,Culture de plantes à fibres,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.16Z,Insee — NAF rév.2 — sous-classe 01.16Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.19,Autres cultures non permanentes,01.19Z,Autres cultures non permanentes,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.19Z,Insee — NAF rév.2 — sous-classe 01.19Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.21,Culture de la vigne,01.21Z,Culture de la vigne,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.21Z,Insee — NAF rév.2 — sous-classe 01.21Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.22,Culture de fruits tropicaux et subtropicaux,01.22Z,Culture de fruits tropicaux et subtropicaux,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.22Z,Insee — NAF rév.2 — sous-classe 01.22Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.23,Culture d'agrumes,01.23Z,Culture d'agrumes,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.23Z,Insee — NAF rév.2 — sous-classe 01.23Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.24,Culture de fruits à pépins et à noyau,01.24Z,Culture de fruits à pépins et à noyau,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.24Z,Insee — NAF rév.2 — sous-classe 01.24Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.25,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.25Z,Insee — NAF rév.2 — sous-classe 01.25Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.26,Culture de fruits oléagineux,01.26Z,Culture de fruits oléagineux,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.26Z,Insee — NAF rév.2 — sous-classe 01.26Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.27,Culture de plantes à boissons,01.27Z,Culture de plantes à boissons,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.27Z,Insee — NAF rév.2 — sous-classe 01.27Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.28Z,Insee — NAF rév.2 — sous-classe 01.28Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.29,Autres cultures permanentes,01.29Z,Autres cultures permanentes,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.29Z,Insee — NAF rév.2 — sous-classe 01.29Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.3,Reproduction de plantes,01.30,Reproduction de plantes,01.30Z,Reproduction de plantes,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.30Z,Insee — NAF rév.2 — sous-classe 01.30Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.41,Élevage de vaches laitières,01.41Z,Élevage de vaches laitières,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.41Z,Insee — NAF rév.2 — sous-classe 01.41Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.42,Élevage d'autres bovins et de buffles,01.42Z,Élevage d'autres bovins et de buffles,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.42Z,Insee — NAF rév.2 — sous-classe 01.42Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.43,Élevage de chevaux et d'autres équidés,01.43Z,Élevage de chevaux et d'autres équidés,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.43Z,Insee — NAF rév.2 — sous-classe 01.43Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.44,Élevage de chameaux et d'autres camélidés,01.44Z,Élevage de chameaux et d'autres camélidés,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.44Z,Insee — NAF rév.2 — sous-classe 01.44Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.45,Élevage d'ovins et de caprins,01.45Z,Élevage d'ovins et de caprins,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.45Z,Insee — NAF rév.2 — sous-classe 01.45Z
NAF rév.2,A,"Agriculture, sylviculture et pêche",01,"Culture et production animale, chasse et services annexes",01.4,Production animale,01.46,Élevage de porcins,01.46Z,Élevage de porcins,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/01.46Z,Insee — NAF rév.2 — sous-classe 01.46Z
